Speaker,Text,Translation
ai_0,Good evening! Welcome to our restaurant.,¡Buenas noches! Bienvenido a nuestro restaurante.
student,Hello! Can I see the menu, please?,¡Hola! ¿Puedo ver el menú, por favor?
ai_0,Of course! Here you go.,¡Por supuesto! Aquí tienes.
student,Thank you! What do you recommend?,¡Gracias! ¿Qué recomienda?
ai_0,Our special today is the paella. It's excellent.,Nuestro especial de hoy es la paella. Es excelente.
student,That sounds good. I'll have that.,Eso suena bien. Lo tomaré.
ai_0,Excellent choice! Would you like something to drink?,¡Excelente elección! ¿Le gustaría algo de beber?
student,Yes, a glass of water, please.,Sí, un vaso de agua, por favor.
ai_0,Perfect. I'll bring that right away.,Perfecto. Lo traeré de inmediato.
student,Thank you very much!,¡Muchas gracias!

