Word,Word Translation,Sentence,Sentence Translation
hello,hola,Hello, how are you?,Hola, ¿cómo estás?
goodbye,adiós,Goodbye, see you later!,Adiós, ¡nos vemos!
please,por favor,Can you help me, please?,¿Puedes ayudarme, por favor?
thank you,gracias,Thank you very much!,¡Muchas gracias!
water,agua,I need a glass of water,Necesito un vaso de agua
food,comida,The food is delicious,La comida está deliciosa
friend,amigo,He is my best friend,Él es mi mejor amigo
house,casa,This is my house,Esta es mi casa
book,libro,I love reading books,Me encanta leer libros
time,tiempo,What time is it?,¿Qué hora es?

